Data,Temperatura (°C),Temperatura máx (°C),Temperatura mín (°C),Temperatura da água (°C),Precipitação (mm),Horas de sol (h)
05/05/2021,26 °C,29 °C,24 °C,29 °C,3.1 mm,5.9
06/05/2021,26 °C,29 °C,24 °C,29 °C,4.1 mm,6.2
07/05/2021,26 °C,29 °C,24 °C,28 °C,2.9 mm,5.9
08/05/2021,26 °C,29 °C,24 °C,28 °C,3.7 mm,6.2
09/05/2021,26 °C,29 °C,24 °C,28 °C,3.8 mm,6.4
10/05/2021,25 °C,29 °C,23 °C,28 °C,5.9 mm,5.3
11/05/2021,26 °C,29 °C,24 °C,28 °C,4.8 mm,6.0
12/05/2021,26 °C,29 °C,24 °C,28 °C,3.7 mm,6.5
13/05/2021,26 °C,29 °C,24 °C,28 °C,2.8 mm,6.3
14/05/2021,26 °C,29 °C,23 °C,28 °C,2.9 mm,6.1
15/05/2021,25 °C,29 °C,24 °C,28 °C,3.8 mm,5.9
16/05/2021,25 °C,29 °C,23 °C,28 °C,3.6 mm,6.1
17/05/2021,25 °C,29 °C,24 °C,28 °C,4.2 mm,5.9
18/05/2021,25 °C,29 °C,23 °C,28 °C,3.4 mm,6.1
19/05/2021,25 °C,29 °C,23 °C,28 °C,3.7 mm,6.0
20/05/2021,25 °C,29 °C,23 °C,28 °C,3.3 mm,5.8
21/05/2021,25 °C,29 °C,23 °C,28 °C,5.1 mm,5.8
22/05/2021,25 °C,29 °C,24 °C,28 °C,3.7 mm,6.0
23/05/2021,25 °C,29 °C,23 °C,28 °C,4.9 mm,6.1
24/05/2021,25 °C,29 °C,23 °C,28 °C,6.9 mm,6.2
25/05/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,5.5
26/05/2021,25 °C,28 °C,23 °C,28 °C,3.3 mm,5.7
27/05/2021,25 °C,28 °C,23 °C,28 °C,3.4 mm,6.2
28/05/2021,25 °C,28 °C,23 °C,28 °C,3.6 mm,5.9
29/05/2021,25 °C,28 °C,23 °C,28 °C,3.5 mm,5.7
30/05/2021,25 °C,28 °C,23 °C,28 °C,4.9 mm,6.0
31/05/2021,25 °C,28 °C,23 °C,28 °C,4.8 mm,5.6
01/06/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,6.3
02/06/2021,25 °C,28 °C,23 °C,28 °C,3.7 mm,5.9
03/06/2021,25 °C,28 °C,23 °C,28 °C,4.2 mm,6.3
04/06/2021,25 °C,28 °C,23 °C,28 °C,5.5 mm,6.0
05/06/2021,25 °C,28 °C,23 °C,28 °C,3.7 mm,5.7
06/06/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,6.1
07/06/2021,25 °C,28 °C,23 °C,28 °C,3.2 mm,5.9
08/06/2021,25 °C,28 °C,23 °C,28 °C,3.7 mm,6.7
09/06/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,6.2
